Time(ms),Position
0,0
100,0.005
200,0.0202005
300,0.0453005
400,0.0804005
500,0.125501
600,0.180601
700,0.2457
800,0.320801
900,0.405901
1000,0.502002
1100,0.607202
1200,0.722402
1300,0.847602
1400,0.982802
1500,1.128
1600,1.2832
1700,1.4484
1800,1.6236
1900,1.8107
2000,2.006
2100,2.2113
2200,2.4266
2300,2.6519
2400,2.8872
2500,3.1325
2600,3.39041
2700,3.65581
2800,3.93121
2900,4.21661
3000,4.512
3100,4.812
3200,5.112
3300,5.412
3400,5.71243
3500,6.00027
3600,6.2781
3700,6.54593
3800,6.80377
3900,7.0516
4000,7.29176
4100,7.51949
4200,7.73723
4300,7.94496
4400,8.14269
4500,8.33043
4600,8.50816
4700,8.67589
4800,8.83515
4900,8.98279
5000,9.12042
5100,9.24805
5200,9.36569
5300,9.47332
5400,9.57095
5500,9.65941
5600,9.73695
5700,9.80448
5800,9.86201
5900,9.90955
6000,9.94708
6100,9.97461
6200,9.99227
6300,9.9997
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
