Time(ms),Position
0,0
100,0.025
200,0.1
300,0.225
400,0.4
500,0.6
600,0.8
700,1
800,1.202
900,1.402
1000,1.602
1100,1.802
1200,2.002
1300,2.202
1400,2.402
1500,2.604
1600,2.804
1700,3.004
1800,3.204
1900,3.404
2000,3.604
2100,3.804
2200,4.004
2300,4.204
2400,4.404
2500,4.606
2600,4.806
2700,5.006
2800,5.206
2900,5.406
3000,5.606
3100,5.806
3200,6.006
3300,6.208
3400,6.408
3500,6.608
3600,6.808
3700,7.008
3800,7.208
3900,7.408
4000,7.608
4100,7.81
4200,8.01
4300,8.21
4400,8.41
4500,8.61
4600,8.81
4700,9.01
4800,9.21
4900,9.412
5000,9.61191
5100,9.78391
5200,9.90591
5300,9.97791
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
