Time(ms),Position
0,0
100,0.02
200,0.080802
300,0.181202
400,0.321602
500,0.502
600,0.702
700,0.902
800,1.102
900,1.302
1000,1.504
1100,1.704
1200,1.904
1300,2.104
1400,2.304
1500,2.504
1600,2.704
1700,2.904
1800,3.106
1900,3.306
2000,3.506
2100,3.706
2200,3.906
2300,4.106
2400,4.308
2500,4.508
2600,4.708
2700,4.908
2800,5.108
2900,5.308
3000,5.508
3100,5.708
3200,5.91
3300,6.11
3400,6.31
3500,6.51
3600,6.71
3700,6.912
3800,7.112
3900,7.312
4000,7.512
4100,7.712
4200,7.912
4300,8.112
4400,8.314
4500,8.514
4600,8.714
4700,8.914
4800,9.114
4900,9.314
5000,9.5139
5100,9.69267
5200,9.82947
5300,9.92627
5400,9.98307
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
