Time(ms),Position
0,0
100,0.010201
200,0.040401
300,0.090601
400,0.160801
500,0.251001
600,0.361201
700,0.491401
800,0.641601
900,0.813604
1000,1.004
1100,1.2144
1200,1.4448
1300,1.6952
1400,1.9656
1500,2.256
1600,2.56961
1700,2.90021
1800,3.25081
1900,3.62141
2000,4.01201
2100,4.42261
2200,4.85321
2300,5.29919
2400,5.72281
2500,6.12644
2600,6.51007
2700,6.87369
2800,7.21732
2900,7.54408
3000,7.84751
3100,8.13094
3200,8.39437
3300,8.63779
3400,8.86122
3500,9.06465
3600,9.24808
3700,9.41304
3800,9.55626
3900,9.67949
4000,9.78272
4100,9.86594
4200,9.92917
4300,9.97273
4400,9.99576
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
