Time(ms),Position
0,0
100,0.035
200,0.14
300,0.315
400,0.56
500,0.860143
600,1.16014
700,1.46014
800,1.76014
900,2.06014
1000,2.36014
1100,2.66014
1200,2.96314
1300,3.26314
1400,3.56314
1500,3.86314
1600,4.16314
1700,4.46314
1800,4.76314
1900,5.06614
2000,5.36614
2100,5.66614
2200,5.96614
2300,6.26614
2400,6.56614
2500,6.86614
2600,7.16614
2700,7.46614
2800,7.76614
2900,8.06614
3000,8.36914
3100,8.66914
3200,8.96914
3300,9.26914
3400,9.55167
3500,9.7672
3600,9.91273
3700,9.98867
3800,10
3900,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
