Time(ms),Position
0,0
100,0.01
200,0.04
300,0.09
400,0.160801
500,0.251001
600,0.361201
700,0.491401
800,0.641601
900,0.811801
1000,1.002
1100,1.2122
1200,1.4424
1300,1.6926
1400,1.9628
1500,2.256
1600,2.5664
1700,2.8968
1800,3.2472
1900,3.6176
2000,4.008
2100,4.4184
2200,4.8488
2300,5.29051
2400,5.71868
2500,6.1225
2600,6.50633
2700,6.87016
2800,7.21398
2900,7.53781
3000,7.84164
3100,8.12547
3200,8.38929
3300,8.63546
3400,8.85909
3500,9.06271
3600,9.24634
3700,9.40997
3800,9.55359
3900,9.67836
4000,9.78178
4100,9.86521
4200,9.92864
4300,9.97206
4400,9.99549
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
