Time(ms),Position
0,0
100,0.005
200,0.02
300,0.045
400,0.08
500,0.125
600,0.18
700,0.245
800,0.320801
900,0.405901
1000,0.501001
1100,0.6061
1200,0.7212
1300,0.8463
1400,0.981401
1500,1.1265
1600,1.2832
1700,1.4484
1800,1.6236
1900,1.8088
2000,2.004
2100,2.204
2200,2.404
2300,2.604
2400,2.806
2500,3.006
2600,3.206
2700,3.406
2800,3.606
2900,3.806
3000,4.006
3100,4.208
3200,4.408
3300,4.608
3400,4.808
3500,5.008
3600,5.208
3700,5.408
3800,5.61
3900,5.81
4000,6.01
4100,6.21
4200,6.41
4300,6.61
4400,6.81
4500,7.01
4600,7.21
4700,7.41
4800,7.612
4900,7.812
5000,8.01198
5100,8.20638
5200,8.39078
5300,8.56518
5400,8.72958
5500,8.88398
5600,9.02838
5700,9.16407
5800,9.28838
5900,9.40268
6000,9.50698
6100,9.60128
6200,9.68558
6300,9.75988
6400,9.82418
6500,9.87848
6600,9.92317
6700,9.95737
6800,9.98157
6900,9.99577
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
