Time(ms),Position
0,0
100,0.015
200,0.06
300,0.135
400,0.233333
500,0.333333
600,0.434333
700,0.534333
800,0.634333
900,0.734333
1000,0.834333
1100,0.934333
1200,1.03433
1300,1.13433
1400,1.23533
1500,1.33533
1600,1.43533
1700,1.53533
1800,1.63533
1900,1.73533
2000,1.83633
2100,1.93633
2200,2.03633
2300,2.13633
2400,2.23633
2500,2.33633
2600,2.43633
2700,2.53633
2800,2.63633
2900,2.73633
3000,2.83733
3100,2.93733
3200,3.03733
3300,3.13733
3400,3.23733
3500,3.33733
3600,3.43733
3700,3.53733
3800,3.63733
3900,3.73733
4000,3.83833
4100,3.93833
4200,4.03833
4300,4.13833
4400,4.23833
4500,4.33833
4600,4.43833
4700,4.53933
4800,4.63933
4900,4.73933
5000,4.83933
5100,4.93933
5200,5.03933
5300,5.14033
5400,5.24033
5500,5.34033
5600,5.44033
5700,5.54033
5800,5.64033
5900,5.74033
6000,5.84033
6100,5.94133
6200,6.04133
6300,6.14133
6400,6.24133
6500,6.34133
6600,6.44133
6700,6.54133
6800,6.64233
6900,6.74233
7000,6.84233
7100,6.94233
7200,7.04233
7300,7.14233
7400,7.24333
7500,7.34333
7600,7.44333
7700,7.54333
7800,7.64333
7900,7.74333
8000,7.84333
8100,7.94433
8200,8.04433
8300,8.14433
8400,8.24433
8500,8.34433
8600,8.44533
8700,8.54533
8800,8.64533
8900,8.74533
9000,8.84533
9100,8.94533
9200,9.04533
9300,9.14533
9400,9.24633
9500,9.34633
9600,9.44633
9700,9.54633
9800,9.64633
9900,9.74633
