Time(ms),Position
0,0
100,0.015
200,0.0606015
300,0.135901
400,0.241201
500,0.376502
600,0.541802
700,0.737101
800,0.962401
900,1.2177
1000,1.506
1100,1.806
1200,2.106
1300,2.406
1400,2.706
1500,3.006
1600,3.309
1700,3.609
1800,3.909
1900,4.209
2000,4.509
2100,4.809
2200,5.109
2300,5.412
2400,5.712
2500,6.012
2600,6.312
2700,6.612
2800,6.912
2900,7.212
3000,7.515
3100,7.815
3200,8.115
3300,8.415
3400,8.7073
3500,8.9708
3600,9.2043
3700,9.40968
3800,9.58288
3900,9.72608
4000,9.83928
4100,9.92248
4200,9.97568
4300,9.99896
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
