Time(ms),Position
0,0
100,0.015
200,0.06
300,0.135
400,0.241201
500,0.376502
600,0.541802
700,0.737101
800,0.962401
900,1.2177
1000,1.503
1100,1.82161
1200,2.16721
1300,2.54281
1400,2.94841
1500,3.38401
1600,3.84961
1700,4.35031
1800,4.87621
1900,5.41421
2000,5.92375
2100,6.4033
2200,6.85284
2300,7.27239
2400,7.66568
2500,8.02492
2600,8.35417
2700,8.65341
2800,8.92266
2900,9.16414
3000,9.37309
3100,9.55203
3200,9.70098
3300,9.82096
3400,9.90961
3500,9.96825
3600,9.9969
3700,10
3800,10
3900,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
