Time(ms),Position
0,0
100,0.03
200,0.12
300,0.27
400,0.466667
500,0.668667
600,0.868667
700,1.06867
800,1.26867
900,1.46867
1000,1.66867
1100,1.87067
1200,2.07067
1300,2.27067
1400,2.47067
1500,2.67067
1600,2.87067
1700,3.07067
1800,3.27067
1900,3.47067
2000,3.67267
2100,3.87267
2200,4.07267
2300,4.27267
2400,4.47267
2500,4.67267
2600,4.87267
2700,5.07267
2800,5.27467
2900,5.47467
3000,5.67467
3100,5.87467
3200,6.07467
3300,6.27467
3400,6.47467
3500,6.67667
3600,6.87667
3700,7.07667
3800,7.27667
3900,7.47667
4000,7.67667
4100,7.87667
4200,8.07667
4300,8.27667
4400,8.47667
4500,8.67867
4600,8.87867
4700,9.07867
4800,9.27867
4900,9.47867
5000,9.67856
5100,9.84496
5200,9.95136
5300,9.99776
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
