Time(ms),Position
0,0
100,0.04
200,0.16
300,0.352
400,0.552
500,0.752
600,0.952
700,1.152
800,1.352
900,1.552
1000,1.752
1100,1.954
1200,2.154
1300,2.354
1400,2.554
1500,2.754
1600,2.954
1700,3.156
1800,3.356
1900,3.556
2000,3.756
2100,3.956
2200,4.156
2300,4.356
2400,4.558
2500,4.758
2600,4.958
2700,5.158
2800,5.358
2900,5.558
3000,5.758
3100,5.96
3200,6.16
3300,6.36
3400,6.56
3500,6.76
3600,6.96
3700,7.16
3800,7.362
3900,7.562
4000,7.762
4100,7.962
4200,8.162
4300,8.364
4400,8.564
4500,8.764
4600,8.964
4700,9.164
4800,9.364
4900,9.564
5000,9.7638
5100,9.91934
5200,9.99294
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
