Time(ms),Position
0,5e-06
100,0.051005
200,0.202005
300,0.453
400,0.753
500,1.053
600,1.353
700,1.653
800,1.953
900,2.253
1000,2.553
1100,2.856
1200,3.156
1300,3.456
1400,3.756
1500,4.056
1600,4.356
1700,4.656
1800,4.956
1900,5.259
2000,5.559
2100,5.859
2200,6.159
2300,6.459
2400,6.759
2500,7.059
2600,7.359
2700,7.659
2800,7.962
2900,8.262
3000,8.562
3100,8.862
3200,9.162
3300,9.462
3400,9.73703
3500,9.91636
3600,9.9957
3700,10
3800,10
3900,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
