Time(ms),Position
0,2e-06
100,0.005202
200,0.020402
300,0.045602
400,0.0812045
500,0.126505
600,0.181804
700,0.247105
800,0.322404
900,0.407705
1000,0.503004
1100,0.608305
1200,0.723604
1300,0.848904
1400,0.985608
1500,1.13101
1600,1.28641
1700,1.45181
1800,1.62721
1900,1.81261
2000,2.00801
2100,2.21341
2200,2.42881
2300,2.65651
2400,2.89201
2500,3.13751
2600,3.39301
2700,3.65851
2800,3.93401
2900,4.21951
3000,4.51501
3100,4.82051
3200,5.13419
3300,5.44416
3400,5.74102
3500,6.02787
3600,6.30473
3700,6.57158
3800,6.82844
3900,7.07529
4000,7.31447
4100,7.54122
4200,7.75798
4300,7.96474
4400,8.16149
4500,8.34825
4600,8.525
4700,8.69176
4800,8.85003
4900,8.99669
5000,9.13334
5100,9.26
5200,9.37665
5300,9.48331
5400,9.57996
5500,9.66662
5600,9.74399
5700,9.81055
5800,9.8671
5900,9.91366
6000,9.95021
6100,9.97677
6200,9.99332
6300,9.99989
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
