Time(ms),Position
0,0
100,0.03
200,0.12
300,0.27
400,0.48
500,0.75
600,1.05
700,1.35
800,1.65
900,1.95
1000,2.253
1100,2.553
1200,2.853
1300,3.153
1400,3.453
1500,3.753
1600,4.053
1700,4.353
1800,4.656
1900,4.956
2000,5.256
2100,5.556
2200,5.856
2300,6.156
2400,6.456
2500,6.756
2600,7.056
2700,7.356
2800,7.659
2900,7.959
3000,8.259
3100,8.559
3200,8.859
3300,9.159
3400,9.44444
3500,9.67264
3600,9.84222
3700,9.94982
3800,9.99742
3900,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
