Time(ms),Position
0,0
100,0.015
200,0.06
300,0.135
400,0.241201
500,0.376502
600,0.541802
700,0.735333
800,0.935333
900,1.13533
1000,1.33533
1100,1.53733
1200,1.73733
1300,1.93733
1400,2.13733
1500,2.33733
1600,2.53733
1700,2.73733
1800,2.93933
1900,3.13933
2000,3.33933
2100,3.53933
2200,3.73933
2300,3.93933
2400,4.13933
2500,4.34133
2600,4.54133
2700,4.74133
2800,4.94133
2900,5.14133
3000,5.34133
3100,5.54133
3200,5.74133
3300,5.94133
3400,6.14333
3500,6.34333
3600,6.54333
3700,6.74333
3800,6.94333
3900,7.14333
4000,7.34333
4100,7.54533
4200,7.74533
4300,7.94533
4400,8.14533
4500,8.34533
4600,8.54533
4700,8.74533
4800,8.94533
4900,9.14733
5000,9.34726
5100,9.53016
5200,9.68306
5300,9.80596
5400,9.89886
5500,9.96224
5600,9.99484
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
