Time(ms),Position
0,0
100,0.010201
200,0.040401
300,0.090601
400,0.160801
500,0.251001
600,0.361201
700,0.491401
800,0.641601
900,0.813604
1000,1.004
1100,1.204
1200,1.404
1300,1.604
1400,1.804
1500,2.004
1600,2.206
1700,2.406
1800,2.606
1900,2.806
2000,3.006
2100,3.206
2200,3.406
2300,3.608
2400,3.808
2500,4.008
2600,4.208
2700,4.408
2800,4.608
2900,4.81
3000,5.01
3100,5.21
3200,5.41
3300,5.612
3400,5.812
3500,6.012
3600,6.212
3700,6.412
3800,6.612
3900,6.812
4000,7.012
4100,7.214
4200,7.414
4300,7.614
4400,7.814
4500,8.014
4600,8.214
4700,8.416
4800,8.616
4900,8.816
5000,9.01594
5100,9.20434
5200,9.37274
5300,9.52252
5400,9.65072
5500,9.75892
5600,9.84712
5700,9.91532
5800,9.96352
5900,9.99172
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
