Time(ms),Position
0,0
100,0.02
200,0.08
300,0.18
400,0.32
500,0.502002
600,0.722402
700,0.982802
800,1.278
900,1.578
1000,1.878
1100,2.178
1200,2.481
1300,2.781
1400,3.081
1500,3.381
1600,3.681
1700,3.981
1800,4.281
1900,4.581
2000,4.881
2100,5.181
2200,5.484
2300,5.784
2400,6.084
2500,6.384
2600,6.684
2700,6.984
2800,7.287
2900,7.587
3000,7.887
3100,8.187
3200,8.487
3300,8.787
3400,9.07701
3500,9.32875
3600,9.54048
3700,9.71373
3800,9.84506
3900,9.93639
4000,9.98773
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
