Time(ms),Position
0,0
100,0.04
200,0.161604
300,0.362404
400,0.6405
500,0.9405
600,1.2405
700,1.5405
800,1.8405
900,2.1405
1000,2.4405
1100,2.7405
1200,3.0435
1300,3.3435
1400,3.6435
1500,3.9435
1600,4.2435
1700,4.5435
1800,4.8465
1900,5.1465
2000,5.4615
2100,5.7615
2200,6.0615
2300,6.3645
2400,6.6645
2500,6.9645
2600,7.2645
2700,7.5645
2800,7.8645
2900,8.1645
3000,8.4645
3100,8.7645
3200,9.0645
3300,9.3645
3400,9.64399
3500,9.84266
3600,9.96132
3700,10
3800,10
3900,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
