Time(ms),Position
0,0
100,0.005
200,0.02
300,0.045
400,0.08
500,0.125501
600,0.180601
700,0.2457
800,0.320801
900,0.405901
1000,0.501001
1100,0.6061
1200,0.7212
1300,0.8463
1400,0.981401
1500,1.128
1600,1.2832
1700,1.4484
1800,1.6236
1900,1.8088
2000,2.004
2100,2.2092
2200,2.4244
2300,2.6496
2400,2.8872
2500,3.1325
2600,3.3878
2700,3.6531
2800,3.9284
2900,4.21371
3000,4.509
3100,4.8143
3200,5.12795
3300,5.4351
3400,5.73226
3500,6.02223
3600,6.29929
3700,6.56635
3800,6.8234
3900,7.07046
4000,7.30751
4100,7.53457
4200,7.75162
4300,7.95868
4400,8.15573
4500,8.34461
4600,8.52156
4700,8.68852
4800,8.84548
4900,8.99243
5000,9.12939
5100,9.25634
5200,9.3733
5300,9.48025
5400,9.57813
5500,9.66498
5600,9.74184
5700,9.80869
5800,9.86555
5900,9.91241
6000,9.94926
6100,9.97612
6200,9.99297
6300,9.99985
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
