Time(ms),Position
0,0
100,0.045
200,0.181805
300,0.407705
400,0.703
500,1.003
600,1.303
700,1.603
800,1.903
900,2.203
1000,2.503
1100,2.803
1200,3.103
1300,3.406
1400,3.706
1500,4.006
1600,4.306
1700,4.606
1800,4.906
1900,5.209
2000,5.509
2100,5.809
2200,6.109
2300,6.409
2400,6.709
2500,7.009
2600,7.309
2700,7.609
2800,7.909
2900,8.212
3000,8.512
3100,8.812
3200,9.112
3300,9.412
3400,9.68953
3500,9.88093
3600,9.98233
3700,10
3800,10
3900,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
