Time(ms),Position
0,0
100,0.045
200,0.181805
300,0.379778
400,0.579778
500,0.779778
600,0.979778
700,1.17978
800,1.37978
900,1.57978
1000,1.77978
1100,1.97978
1200,2.18178
1300,2.38178
1400,2.58178
1500,2.78178
1600,2.98178
1700,3.18178
1800,3.38178
1900,3.58178
2000,3.78178
2100,3.98378
2200,4.18378
2300,4.38378
2400,4.58378
2500,4.78378
2600,4.98378
2700,5.18378
2800,5.38578
2900,5.58578
3000,5.78578
3100,5.98578
3200,6.18578
3300,6.38578
3400,6.58578
3500,6.78578
3600,6.98578
3700,7.18778
3800,7.38778
3900,7.58778
4000,7.78778
4100,7.98778
4200,8.18778
4300,8.38778
4400,8.58778
4500,8.78978
4600,8.98978
4700,9.18978
4800,9.38978
4900,9.58978
5000,9.78962
5100,9.93922
5200,9.99896
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
