Time(ms),Position
0,1.4e-05
100,0.036414
200,0.130571
300,0.230571
400,0.330571
500,0.430571
600,0.531571
700,0.631571
800,0.731571
900,0.831571
1000,0.931571
1100,1.03157
1200,1.13157
1300,1.23257
1400,1.33257
1500,1.43257
1600,1.53257
1700,1.63257
1800,1.73257
1900,1.83257
2000,1.93257
2100,2.03257
2200,2.13257
2300,2.23257
2400,2.33257
2500,2.43357
2600,2.53357
2700,2.63357
2800,2.73357
2900,2.83357
3000,2.93357
3100,3.03357
3200,3.13357
3300,3.23357
3400,3.33357
3500,3.43457
3600,3.53457
3700,3.63457
3800,3.73457
3900,3.83457
4000,3.93457
4100,4.03457
4200,4.13557
4300,4.23557
4400,4.33557
4500,4.43557
4600,4.53557
4700,4.63557
4800,4.73557
4900,4.83557
5000,4.93657
5100,5.03657
5200,5.13657
5300,5.23657
5400,5.33657
5500,5.43657
5600,5.53657
5700,5.63657
5800,5.73657
5900,5.83757
6000,5.93757
6100,6.03757
6200,6.13757
6300,6.23757
6400,6.33757
6500,6.43757
6600,6.53857
6700,6.63857
6800,6.73857
6900,6.83857
7000,6.93857
7100,7.03857
7200,7.13857
7300,7.23857
7400,7.33957
7500,7.43957
7600,7.53957
7700,7.63957
7800,7.73957
7900,7.83957
8000,7.94057
8100,8.04057
8200,8.14057
8300,8.24057
8400,8.34057
8500,8.44057
8600,8.54057
8700,8.64057
8800,8.74157
8900,8.84157
9000,8.94157
9100,9.04157
9200,9.14157
9300,9.24157
9400,9.34257
9500,9.44257
9600,9.54257
9700,9.64257
9800,9.74257
9900,9.84257
