Time(ms),Position
0,0
100,0.05
200,0.2
300,0.4
400,0.602
500,0.802
600,1.002
700,1.202
800,1.402
900,1.604
1000,1.804
1100,2.004
1200,2.204
1300,2.404
1400,2.604
1500,2.804
1600,3.004
1700,3.206
1800,3.406
1900,3.606
2000,3.806
2100,4.006
2200,4.206
2300,4.408
2400,4.608
2500,4.808
2600,5.008
2700,5.208
2800,5.408
2900,5.608
3000,5.808
3100,6.01
3200,6.21
3300,6.41
3400,6.61
3500,6.81
3600,7.01
3700,7.21
3800,7.412
3900,7.612
4000,7.812
4100,8.012
4200,8.212
4300,8.412
4400,8.612
4500,8.814
4600,9.014
4700,9.214
4800,9.414
4900,9.614
5000,9.81376
5100,9.95675
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
