Time(ms),Position
0,0
100,0.015
200,0.0606015
300,0.135901
400,0.241201
500,0.376502
600,0.541802
700,0.737101
800,0.962401
900,1.22041
1000,1.50601
1100,1.82161
1200,2.16721
1300,2.54281
1400,2.94133
1500,3.34133
1600,3.74133
1700,4.14133
1800,4.54533
1900,4.94533
2000,5.34533
2100,5.74533
2200,6.14533
2300,6.54533
2400,6.94533
2500,7.34931
2600,7.73311
2700,8.08691
2800,8.41071
2900,8.70451
3000,8.96831
3100,9.20211
3200,9.40591
3300,9.5813
3400,9.7248
3500,9.83829
3600,9.92179
3700,9.9753
3800,9.99879
3900,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
